Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.13904059356308893,0.16502559589154528,0.9567071296865396,"[0.95903753 0.96836983 0.97243289 0.9341637  0.97146254 0.95276596
 0.95331325 0.9604576  0.93866506 0.91742562]"
2,0.1362377929574323,0.1569205198240064,0.9597034419176398,"[0.95562554 0.9697561  0.97473275 0.94172575 0.9736947  0.95838588
 0.95616718 0.96033924 0.94315789 0.92726161]"
3,0.13714350487841648,0.165124538051767,0.9575906576521205,"[0.95428894 0.96754524 0.97202545 0.93867423 0.97306931 0.9541517
 0.95432992 0.95907607 0.93932183 0.92791128]"
4,0.14075554023808187,0.1665117639588042,0.9579748002458512,"[0.95599655 0.96784253 0.97255283 0.93824145 0.96906404 0.95555087
 0.95425828 0.9622454  0.94192764 0.92863706]"
5,0.1387823001177788,0.16525625821475465,0.9560156730178242,"[0.95915453 0.96825397 0.96735764 0.93460816 0.97217806 0.95345858
 0.94655345 0.95773247 0.93425172 0.93249211]"
6,0.1390704640616911,0.1691675353028251,0.956860786724032,"[0.95471167 0.96750049 0.97406827 0.93555751 0.97184774 0.95672564
 0.9560384  0.95233487 0.94146642 0.91901729]"
7,0.13607873121122135,0.16211421905885684,0.9582821143208359,"[0.95622513 0.96818674 0.97114118 0.93909695 0.97191794 0.95653991
 0.95549409 0.95926478 0.94444444 0.92782233]"
8,0.13872937332586394,0.16614290466045556,0.9571296865396435,"[0.95523239 0.9659346  0.97219213 0.9391516  0.9696138  0.95767422
 0.95242915 0.9558676  0.94185693 0.92705448]"
9,0.1405952436196556,0.16488344450701617,0.957859557467732,"[0.95551148 0.96945813 0.97161337 0.93969144 0.97090474 0.95681483
 0.95294996 0.96027805 0.94309443 0.92020789]"
10,0.13694588232073074,0.16840561961534203,0.9559388444990781,"[0.95642202 0.96967318 0.97355392 0.93645964 0.97153025 0.95607893
 0.94430754 0.95817867 0.93776693 0.90833581]"
11,0.13751754316764594,0.17267273534512914,0.9555162876459742,"[0.95387244 0.96679476 0.97477369 0.93238062 0.96538002 0.95499683
 0.95334686 0.95918872 0.94271785 0.91169451]"
12,0.136140174841342,0.16036814756201467,0.958358942839582,"[0.95469989 0.96880196 0.97365572 0.94458085 0.97208931 0.95903716
 0.95266717 0.95684709 0.93812862 0.92170709]"
13,0.13767008180802828,0.1589278819287893,0.9585510141364475,"[0.95847554 0.96782446 0.97315517 0.94109446 0.97175815 0.95873016
 0.95397066 0.95920398 0.94001791 0.92642551]"
14,0.13563692303103647,0.16868208282579655,0.9582437000614629,"[0.95584862 0.97063734 0.97400096 0.93656981 0.97301587 0.95996593
 0.95661    0.95770467 0.94183976 0.91495076]"
15,0.1393283407234123,0.16109997242203722,0.9577443146896127,"[0.9568427  0.96938072 0.96941346 0.9407279  0.96907216 0.9552615
 0.95219024 0.95851144 0.94297042 0.9292365 ]"
16,0.13910100182992638,0.16380357333374815,0.9579748002458512,"[0.95313831 0.96770405 0.96975516 0.94247246 0.97180564 0.9518449
 0.95584153 0.96010038 0.94361475 0.93193717]"
17,0.1376713422020825,0.16657272341518622,0.9572449293177627,"[0.95752673 0.96912438 0.9689113  0.93766555 0.97191011 0.95624604
 0.94937965 0.95819775 0.94449445 0.92444173]"
18,0.1371611608857092,0.16224316235565303,0.9591656422864168,"[0.95507205 0.96981021 0.97301205 0.94175096 0.97334924 0.95619048
 0.95656591 0.96011817 0.94238311 0.92718894]"
19,0.1380682481923944,0.1611086716240051,0.9585894283958205,"[0.9577305  0.96885133 0.97408574 0.93884007 0.97120159 0.95754519
 0.95707071 0.95742063 0.94823386 0.91913096]"
20,0.13852675247529148,0.1635422616539902,0.9584357713583282,"[0.9568672  0.96642989 0.97283531 0.94065857 0.97373657 0.95772871
 0.95408678 0.95930087 0.94446112 0.92539146]"
21,0.13718942385897379,0.16311876622578741,0.9574754148740012,"[0.95346198 0.96908628 0.97360136 0.93485793 0.97237569 0.95358118
 0.95376756 0.95701581 0.94418748 0.92529972]"
22,0.13894886342481344,0.16180025511744678,0.9581284572833436,"[0.95551148 0.96630094 0.97281624 0.94125923 0.97461325 0.95820206
 0.95421566 0.95574341 0.94512947 0.92298363]"
23,0.13890178374251372,0.16498473395387966,0.9573217578365089,"[0.95521542 0.96807677 0.97267096 0.93584379 0.97291916 0.95440219
 0.95102449 0.95966135 0.94452957 0.92317036]"
24,0.1379566707839529,0.16620502600557394,0.9572065150583897,"[0.9536647  0.9675217  0.9733124  0.93776371 0.97289812 0.95517315
 0.95087719 0.96027979 0.94135708 0.92015907]"
25,0.14016899633696758,0.1663202138705787,0.9571296865396435,"[0.95459705 0.96752236 0.97268552 0.94526129 0.97154229 0.95799745
 0.94051408 0.95710059 0.93375    0.92846177]"
26,0.13741646631399831,0.16081957236509348,0.9575138291333744,"[0.95888064 0.96743088 0.9651315  0.94125777 0.97086224 0.95495877
 0.95317641 0.95772559 0.94614443 0.93312303]"
27,0.13865978564339712,0.1621378975226037,0.9582437000614629,"[0.95846462 0.9671472  0.97415459 0.93984307 0.97383029 0.95655859
 0.9505988  0.95693303 0.94292653 0.92711192]"
28,0.1395528680926054,0.16971941943295854,0.9546711739397664,"[0.94859415 0.96564623 0.97310337 0.93112467 0.96826981 0.95203735
 0.95319577 0.95845697 0.94390244 0.91339527]"
29,0.13693797554134932,0.15941213206608437,0.9597034419176398,"[0.956621   0.96952474 0.97277198 0.94099217 0.97404399 0.95711253
 0.95911156 0.95766129 0.94774992 0.92885496]"
30,0.13984537778971265,0.16338605438968706,0.9578979717271051,"[0.95571227 0.96827262 0.9705847  0.9405139  0.97143998 0.95552245
 0.95204969 0.96140351 0.94360218 0.92584681]"
31,0.13697080051222255,0.15743509353755,0.9587814996926859,"[0.95787651 0.96936371 0.96914395 0.94154489 0.97256461 0.95626453
 0.95551062 0.96160515 0.9398093  0.93271318]"
32,0.1354097417655331,0.16891323827715396,0.9567071296865396,"[0.95711835 0.96820838 0.9698788  0.93634929 0.97051793 0.95272267
 0.95176529 0.96081349 0.94580684 0.91983122]"
33,0.13900282622923069,0.15961452434554962,0.9587046711739398,"[0.95634807 0.96831159 0.96842105 0.94119712 0.97172441 0.95929501
 0.9601826  0.95650012 0.94915254 0.92648416]"
34,0.13969679133938875,0.17067396010202943,0.9567071296865396,"[0.95369848 0.96966127 0.97202374 0.93281194 0.96935933 0.95293872
 0.95856493 0.95870206 0.94340759 0.91724765]"
